RCDTS,Type,District,City_x,County,District Type,District Size,Enrollment,Student Enrollment - Low Income %,ClassSize,AvgTeachExp,BS,MS,TeachRetRate,Teacher Avg Salary,AvgSalary,County ,Dist # ,District Name/ School Name,City_y,ELA,Math
010860020260000,District,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,226.0,50.9,15.0,13.0,58.8,41.2,79.3,38743.44,95103.29,Scott,20,Scott-Morgan CUSD 2,Bluffs,438.3,428.3
030030010260000,District,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,438.0,50.2,15.0,12.4,58.9,41.1,85.7,43598.08,78695.25,Bond,10,Mulberry Grove CUSD 1,Mulberry Grove,484.4,488.5
030030020260000,District,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,1831.0,45.8,21.0,14.9,41.5,58.1,89.8,54594.77,87221.33,Bond,20,Bond County CUSD 2,Greenville,515.2,506.7
030110010260000,District,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,335.0,36.1,16.0,11.2,74.7,21.4,82.2,46825.63,88205.86,Christian,10,Morrisonville CUSD 1,Morrisonville,517.1,484.3
030110030260000,District,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,2542.0,52.4,19.0,14.7,75.7,24.3,87.2,49821.37,95312.78,Christian,30,Taylorville CUSD 3,Taylorville,501.3,500.9
030110040260000,District,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,277.0,47.7,14.0,12.4,82.0,18.0,79.7,36795.2,89341.2,Christian,40,Edinburg CUSD 4,Edinburg,468.3,460.8
030110080260000,District,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,1305.0,63.0,21.0,15.5,71.3,28.7,88.5,50706.35,98781.79,Christian,80,Pana CUSD 8,Pana,487.8,467.1
030110140240000,District,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,331.0,60.4,15.0,13.5,66.8,33.2,79.7,39544.61,66587.78,Christian,140,South Fork SD 14,Kincaid,444.3,430.7
030250100260000,District,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,647.0,54.3,17.0,17.5,61.9,38.1,88.8,51273.52,84903.54,Effingham,100,Altamont CUSD 10,Altamont,498.3,507.0
030250200260000,District,Beecher City CUSD 20,Beecher City,Effingham,UNIT,SMALL,295.0,42.7,15.0,18.2,57.7,42.3,94.7,53339.21,101116.95,Effingham,200,Beecher City CUSD 20,Beecher City,529.4,520.0
030250300260000,District,Dieterich CUSD 30,Dieterich,Effingham,UNIT,MEDIUM,512.0,28.7,17.0,16.4,63.9,36.1,91.3,47665.62,87473.33,Effingham,300,Dieterich CUSD 30,Dieterich,482.0,494.0
030250400260000,District,Effingham CUSD 40,Effingham,Effingham,UNIT,LARGE,2510.0,46.0,19.0,14.9,53.7,46.3,91.2,49808.15,102713.53,Effingham,400,Effingham CUSD 40,Effingham,508.6,500.0
030250500260000,District,Teutopolis CUSD 50,Teutopolis,Effingham,UNIT,MEDIUM,1061.0,9.7,21.0,17.9,63.1,36.9,90.2,52471.3,100144.25,Effingham,500,Teutopolis CUSD 50,Teutopolis,537.6,553.0
030262010260000,District,Brownstown CUSD 201,Brownstown,Fayette,UNIT,SMALL,376.0,51.1,17.0,15.7,46.9,53.1,91.8,45927.87,70000.0,Fayette,2010,Brownstown CUSD 201,Brownstown,442.1,425.3
030262020260000,District,St Elmo CUSD 202,Saint Elmo,Fayette,UNIT,SMALL,441.0,51.5,16.0,16.3,75.4,24.6,87.8,58243.62,111267.13,Fayette,2020,St Elmo CUSD 202,Saint Elmo,461.5,448.1
030262030260000,District,Vandalia CUSD 203,Vandalia,Fayette,UNIT,MEDIUM,1460.0,59.5,20.0,14.8,48.5,51.5,87.1,58321.98,112386.03,Fayette,2030,Vandalia CUSD 203,Vandalia,470.7,461.9
030262040260000,District,Ramsey CUSD 204,Ramsey,Fayette,UNIT,SMALL,445.0,50.6,15.0,12.8,68.6,31.4,84.9,43207.37,78720.99,Fayette,2040,Ramsey CUSD 204,Ramsey,456.1,432.1
030680020260000,District,Panhandle CUSD 2,Raymond,Montgomery,UNIT,MEDIUM,491.0,47.7,16.0,17.5,59.1,40.9,92.0,52865.42,81024.67,Montgomery,20,Panhandle CUSD 2,Raymond,483.8,460.0
030680030260000,District,Hillsboro CUSD 3,Hillsboro,Montgomery,UNIT,MEDIUM,1687.0,50.9,19.0,15.7,51.0,49.0,90.7,55201.67,86434.78,Montgomery,30,Hillsboro CUSD 3,Hillsboro,492.9,461.9
030680120260000,District,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,MEDIUM,1433.0,55.3,19.0,13.6,59.7,40.3,86.5,59242.9,102934.14,Montgomery,120,Litchfield CUSD 12,Litchfield,457.6,454.9
030680220260000,District,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,MEDIUM,631.0,44.1,17.0,13.4,65.7,34.3,91.7,41893.15,84599.0,Montgomery,220,Nokomis CUSD 22,Nokomis,479.5,472.7
040041000260000,District,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,8003.0,44.6,22.0,11.6,36.9,62.9,88.3,59149.16,93921.76,Boone,1000,Belvidere CUSD 100,Belvidere,495.1,480.9
040042000260000,District,North Boone CUSD 200,Poplar Grove,Boone,UNIT,MEDIUM,1635.0,36.8,19.0,10.8,52.5,47.5,83.5,54835.87,98496.4,Boone,2000,North Boone CUSD 200,Poplar Grove,512.5,496.0
041011220220000,District,Harlem UD 122,Machesney Park,Winnebago,UNIT,LARGE,6544.0,58.2,21.0,13.7,35.4,64.2,88.4,65387.99,106559.86,Winnebago,1220,Harlem UD 122,Machesney Park,495.0,470.0
041012050250000,District,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,28144.0,53.5,23.0,13.2,37.4,62.2,82.6,61640.59,88511.92,Winnebago,2050,Rockford SD 205,Rockford,465.5,450.6
041012070160000,District,Hononegah CHD 207,Rockton,Winnebago,HIGH SCHOOL,MEDIUM,2010.0,21.4,23.0,15.6,16.4,83.6,94.2,74676.03,105604.87,Winnebago,2070,Hononegah CHD 207,Rockton,559.8,549.4
041013200260000,District,County of Winnebago SD 320,South Beloit,Winnebago,UNIT,MEDIUM,968.0,64.4,15.0,10.7,62.0,38.0,82.9,50163.38,90178.74,Winnebago,3200,County of Winnebago SD 320,South Beloit,495.5,497.8
041013210260000,District,Pecatonica CUSD 321,Pecatonica,Winnebago,UNIT,MEDIUM,873.0,15.9,17.0,14.0,45.7,54.3,92.4,47763.58,106597.97,Winnebago,3210,Pecatonica CUSD 321,Pecatonica,531.7,528.6
041013220260000,District,Durand CUSD 322,Durand,Winnebago,UNIT,MEDIUM,610.0,30.8,17.0,13.9,35.9,64.1,89.3,50883.24,86765.2,Winnebago,3220,Durand CUSD 322,Durand,494.8,473.6
041013230260000,District,Winnebago CUSD 323,Winnebago,Winnebago,UNIT,MEDIUM,1371.0,23.5,20.0,13.0,41.5,58.5,91.6,51891.99,81463.14,Winnebago,3230,Winnebago CUSD 323,Winnebago,524.0,518.7
050162020170000,District,Evanston Twp HSD 202,Evanston,Cook,HIGH SCHOOL,MEDIUM,3547.0,38.5,19.0,13.3,22.2,77.5,91.5,99441.41,147069.13,Cook,2020,Evanston Twp HSD 202,Evanston,552.4,551.6
050162030170000,District,New Trier Twp HSD 203,Northfield,Cook,HIGH SCHOOL,LARGE,3968.0,3.7,22.0,16.6,5.2,94.8,91.3,114323.48,175359.08,Cook,2030,New Trier Twp HSD 203,Northfield,615.3,619.7
050162070170000,District,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,6370.0,27.0,21.0,18.2,19.1,80.4,92.0,114773.46,127447.34,Cook,2070,Maine Township HSD 207,Park Ridge,531.3,539.4
050162110170000,District,Township HSD 211,Palatine,Cook,HIGH SCHOOL,LARGE,11841.0,35.5,21.0,14.7,17.1,82.9,94.2,99473.85,140753.85,Cook,2110,Township HSD 211,Palatine,537.2,555.6
050162140170000,District,Township HSD 214,Arlington Heights,Cook,HIGH SCHOOL,LARGE,12029.0,20.4,21.0,16.2,12.2,87.7,96.1,106043.67,142741.85,Cook,2140,Township HSD 214,Arlington Heights,544.6,553.4
050162190170000,District,Niles Twp HSD 219,Skokie,Cook,HIGH SCHOOL,LARGE,4594.0,31.1,19.0,16.7,13.9,86.1,92.8,113327.81,131354.66,Cook,2190,Niles Twp HSD 219,Skokie,529.9,535.3
050162250170000,District,Northfield Twp HSD 225,Glenview,Cook,HIGH SCHOOL,LARGE,5172.0,14.5,21.0,15.3,24.2,75.8,91.3,112287.59,158779.59,Cook,2250,Northfield Twp HSD 225,Glenview,590.6,599.3
060162000130000,District,Oak Park - River Forest SD 200,Oak Park,Cook,HIGH SCHOOL,MEDIUM,3415.0,21.6,18.0,14.1,12.6,87.4,93.3,104014.89,141189.05,Cook,2000,Oak Park - River Forest SD 200,Oak Park,570.0,560.4
060162010170000,District,J S Morton HSD 201,Cicero,Cook,HIGH SCHOOL,LARGE,8287.0,87.8,23.0,15.0,36.6,63.4,92.3,83141.72,102030.87,Cook,2010,J S Morton HSD 201,Cicero,450.5,423.1
060162040170000,District,Lyons Twp HSD 204,La Grange,Cook,HIGH SCHOOL,LARGE,4072.0,12.6,24.0,15.7,10.8,89.2,96.6,109138.91,147032.95,Cook,2040,Lyons Twp HSD 204,La Grange,561.5,570.9
060162080170000,District,Riverside-Brookfield Twp SD 208,Riverside,Cook,HIGH SCHOOL,MEDIUM,1632.0,14.2,23.0,13.9,25.6,74.4,96.0,96486.25,121483.4,Cook,2080,Riverside-Brookfield Twp SD 208,Riverside,538.8,535.7
060162090170000,District,Proviso Twp HSD 209,Forest Park,Cook,HIGH SCHOOL,LARGE,4454.0,30.2,19.0,12.8,24.3,74.5,80.8,65805.64,112750.0,Cook,2090,Proviso Twp HSD 209,Forest Park,458.7,445.3
060162120160000,District,Leyden CHSD 212,Franklin Park,Cook,HIGH SCHOOL,MEDIUM,3457.0,55.9,20.0,15.5,13.4,86.6,93.1,87960.34,126055.03,Cook,2120,Leyden CHSD 212,Franklin Park,484.6,477.0
060162340160000,District,Ridgewood CHSD 234,Norridge,Cook,HIGH SCHOOL,MEDIUM,872.0,25.2,17.0,11.5,37.8,62.2,86.4,76048.18,118347.52,Cook,2340,Ridgewood CHSD 234,Norridge,512.7,488.2
060164010260000,District,Elmwood Park CUSD 401,Elmwood Park,Cook,UNIT,LARGE,2862.0,45.5,23.0,13.5,29.7,70.3,89.6,80881.15,109889.01,Cook,4010,Elmwood Park CUSD 401,Elmwood Park,476.1,475.2
070162050170000,District,Thornton Twp HSD 205,South Holland,Cook,HIGH SCHOOL,LARGE,5140.0,58.0,16.0,13.5,23.1,76.1,86.0,78873.46,108552.55,Cook,2050,Thornton Twp HSD 205,South Holland,430.3,420.2
070162060170000,District,Bloom Twp HSD 206,Chicago Heights,Cook,HIGH SCHOOL,MEDIUM,3075.0,82.5,19.0,13.5,25.4,72.8,87.9,74325.79,106166.89,Cook,2060,Bloom Twp HSD 206,Chicago Heights,459.9,437.1
070162100170000,District,Lemont Twp HSD 210,Lemont,Cook,HIGH SCHOOL,MEDIUM,1418.0,13.5,21.0,15.4,18.3,81.7,95.1,77057.54,128155.89,Cook,2100,Lemont Twp HSD 210,Lemont,551.6,558.1
070162150170000,District,Thornton Fractional Twp HSD 215,Lansing,Cook,HIGH SCHOOL,MEDIUM,3438.0,97.0,21.0,15.0,17.8,80.7,90.6,96045.2,127435.56,Cook,2150,Thornton Fractional Twp HSD 215,Lansing,458.5,447.3
070162170160000,District,Argo CHSD 217,Summit,Cook,HIGH SCHOOL,MEDIUM,1944.0,65.1,23.0,13.4,17.8,81.4,93.8,96331.71,121113.9,Cook,2170,Argo CHSD 217,Summit,477.2,488.6
070162180160000,District,CHSD 218,Oak Lawn,Cook,HIGH SCHOOL,LARGE,5405.0,69.0,19.0,13.8,9.0,90.7,93.5,92368.63,119987.04,Cook,2180,CHSD 218,Oak Lawn,472.1,467.6
070162200170000,District,Reavis Twp HSD 220,Burbank,Cook,HIGH SCHOOL,MEDIUM,1823.0,51.3,21.0,14.8,13.3,86.7,93.4,96026.1,149473.93,Cook,2200,Reavis Twp HSD 220,Burbank,486.2,482.0
070162270170000,District,Rich Twp HSD 227,Matteson,Cook,HIGH SCHOOL,MEDIUM,3001.0,81.3,12.0,12.9,29.5,69.1,78.7,74862.72,106322.0,Cook,2270,Rich Twp HSD 227,Matteson,449.6,429.3
070162280160000,District,Bremen CHSD 228,Midlothian,Cook,HIGH SCHOOL,LARGE,5089.0,34.3,22.0,14.6,25.6,74.0,92.7,90412.66,135906.32,Cook,2280,Bremen CHSD 228,Midlothian,470.6,462.9
070162290160000,District,Oak Lawn CHSD 229,Oak Lawn,Cook,HIGH SCHOOL,MEDIUM,1838.0,36.3,22.0,14.1,32.4,67.6,93.4,90118.85,131656.0,Cook,2290,Oak Lawn CHSD 229,Oak Lawn,477.1,479.5
070162300130000,District,Cons HSD 230,Orland Park,Cook,HIGH SCHOOL,LARGE,7397.0,19.1,17.0,15.5,7.8,92.2,95.3,89664.62,121902.17,Cook,2300,Cons HSD 230,Orland Park,526.3,530.1
070162310160000,District,Evergreen Park CHSD 231,Evergreen Park,Cook,HIGH SCHOOL,MEDIUM,844.0,26.4,19.0,14.8,21.0,79.0,89.6,82705.7,142003.32,Cook,2310,Evergreen Park CHSD 231,Evergreen Park,507.0,505.9
070162330160000,District,Homewood Flossmoor CHSD 233,Flossmoor,Cook,HIGH SCHOOL,MEDIUM,2814.0,22.3,14.0,13.2,22.6,76.9,90.8,88171.83,150844.41,Cook,2330,Homewood Flossmoor CHSD 233,Flossmoor,512.8,493.8
070169010250000,District,Southland College Prep Charter High School,Richton Park,Cook,HIGH SCHOOL,SMALL,533.0,43.7,21.0,7.4,57.4,40.2,81.6,60153.82,123273.26,Cook,9010,Southland College Prep Charter High School,Richton Park,526.6,512.2
080083080260000,District,Eastland CUSD 308,Lanark,Carroll,UNIT,MEDIUM,649.0,39.1,20.0,13.0,47.2,52.8,83.7,52704.92,108503.83,Carroll,3080,Eastland CUSD 308,Lanark,488.7,492.3
080083140260000,District,West Carroll CUSD 314,Mount Carroll,Carroll,UNIT,MEDIUM,1113.0,49.9,18.0,16.5,53.5,46.5,86.8,48061.78,78080.0,Carroll,3140,West Carroll CUSD 314,Mount Carroll,473.8,432.5
080083990260000,District,Chadwick-Milledgeville CUSD 399,Chadwick,Carroll,UNIT,MEDIUM,470.0,28.5,13.0,15.1,59.3,40.7,88.9,50321.25,98303.5,Carroll,3990,Chadwick-Milledgeville CUSD 399,Chadwick,468.8,459.8
080431190220000,District,East Dubuque USD 119,East Dubuque,Jo Daviess,UNIT,MEDIUM,684.0,25.3,18.0,11.0,73.4,26.6,81.9,36048.25,93781.25,Jo Daviess,1190,East Dubuque USD 119,East Dubuque,524.3,530.7
080431200220000,District,Galena USD 120,Galena,Jo Daviess,UNIT,MEDIUM,834.0,34.1,17.0,13.2,34.3,65.7,93.1,59458.05,99899.43,Jo Daviess,1200,Galena USD 120,Galena,522.5,509.3
080432050260000,District,Warren CUSD 205,Warren,Jo Daviess,UNIT,SMALL,407.0,30.7,9.0,15.4,68.0,32.0,87.4,45077.96,91134.29,Jo Daviess,2050,Warren CUSD 205,Warren,489.2,499.2
080432060260000,District,Stockton CUSD 206,Stockton,Jo Daviess,UNIT,MEDIUM,613.0,39.2,21.0,17.1,46.3,53.7,93.9,56765.81,82892.85,Jo Daviess,2060,Stockton CUSD 206,Stockton,512.8,490.8
080432100260000,District,River Ridge CUSD 210,Hanover,Jo Daviess,UNIT,MEDIUM,511.0,43.6,14.0,17.5,28.9,71.1,99.0,69799.79,109081.4,Jo Daviess,2100,River Ridge CUSD 210,Hanover,503.9,526.4
080432110260000,District,Scales Mound CUSD 211,Scales Mound,Jo Daviess,UNIT,SMALL,253.0,24.5,12.0,16.3,52.8,47.2,93.8,62153.0,109877.29,Jo Daviess,2110,Scales Mound CUSD 211,Scales Mound,550.9,580.0
080891450220000,District,Freeport SD 145,Freeport,Stephenson,UNIT,LARGE,3957.0,64.5,17.0,11.8,46.1,52.7,76.4,48507.73,90527.24,Stephenson,1450,Freeport SD 145,Freeport,484.3,447.3
080892000260000,District,Pearl City CUSD 200,Pearl City,Stephenson,UNIT,SMALL,448.0,34.8,5.0,15.7,46.2,53.8,94.4,47813.59,100182.38,Stephenson,2000,Pearl City CUSD 200,Pearl City,544.4,541.5
080892010260000,District,Dakota CUSD 201,Dakota,Stephenson,UNIT,MEDIUM,814.0,30.8,20.0,16.5,39.8,60.2,88.6,54698.73,91096.98,Stephenson,2010,Dakota CUSD 201,Dakota,509.4,510.9
080892020260000,District,Lena Winslow CUSD 202,Lena,Stephenson,UNIT,MEDIUM,831.0,36.0,17.0,14.7,46.4,51.9,89.0,45174.99,95704.26,Stephenson,2020,Lena Winslow CUSD 202,Lena,522.0,507.6
080892030260000,District,Orangeville CUSD 203,Orangeville,Stephenson,UNIT,SMALL,329.0,26.1,13.0,12.0,76.4,23.6,76.9,51298.62,109749.45,Stephenson,2030,Orangeville CUSD 203,Orangeville,497.9,490.0
090100010260000,District,Fisher CUSD 1,Fisher,Champaign,UNIT,MEDIUM,622.0,29.6,20.0,13.9,58.0,39.8,85.6,47033.77,89531.89,Champaign,10,Fisher CUSD 1,Fisher,511.7,515.7
090100030260000,District,Mahomet-Seymour CUSD 3,Mahomet,Champaign,UNIT,LARGE,3113.0,19.2,22.0,14.4,48.0,52.0,89.3,53884.57,100935.29,Champaign,30,Mahomet-Seymour CUSD 3,Mahomet,583.9,605.0
090100040260000,District,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,10014.0,54.1,19.0,10.2,46.2,53.7,82.3,51819.69,89939.01,Champaign,40,Champaign CUSD 4,Champaign,511.2,514.1
090100070260000,District,Tolono CUSD 7,Tolono,Champaign,UNIT,MEDIUM,1648.0,28.3,22.0,13.0,55.1,44.9,85.0,45800.04,100790.33,Champaign,70,Tolono CUSD 7,Tolono,505.2,518.3
090100080260000,District,Heritage CUSD 8,Homer,Champaign,UNIT,SMALL,481.0,42.0,14.0,14.0,76.4,23.6,87.1,49724.29,105714.64,Champaign,80,Heritage CUSD 8,Homer,494.3,450.0
090101160220000,District,Urbana SD 116,Urbana,Champaign,UNIT,LARGE,4590.0,70.4,17.0,10.8,49.3,50.2,81.5,53481.51,101981.41,Champaign,1160,Urbana SD 116,Urbana,485.2,456.7
090101930170000,District,Rantoul Township HSD 193,Rantoul,Champaign,HIGH SCHOOL,MEDIUM,753.0,67.1,16.0,9.8,53.4,46.6,81.7,46723.63,86848.35,Champaign,1930,Rantoul Township HSD 193,Rantoul,450.8,435.8
090103050160000,District,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,SMALL,468.0,6.6,20.0,13.5,48.2,51.8,93.1,43630.74,98092.33,Champaign,3050,St Joseph Ogden CHSD 305,Saint Joseph,546.3,563.7
090270050260000,District,Gibson City-Melvin-Sibley CUSD 5,Gibson City,Ford,UNIT,MEDIUM,1010.0,37.8,15.0,13.2,61.9,38.1,89.4,50052.04,110113.51,Ford,50,Gibson City-Melvin-Sibley CUSD 5,Gibson City,543.2,526.7
090270100260000,District,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,1356.0,47.3,16.0,13.2,51.5,48.5,86.0,44148.64,96122.29,Ford,100,Paxton-Buckley-Loda CUD 10,Paxton,501.2,509.9
110150010260000,District,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,2757.0,45.0,22.0,12.9,47.8,52.2,86.3,45248.85,90255.44,Coles,10,Charleston CUSD 1,Charleston,513.8,498.3
110150020260000,District,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,3403.0,56.1,19.0,14.0,41.5,58.5,85.9,54522.42,106091.57,Coles,20,Mattoon CUSD 2,Mattoon,502.1,489.5
110150050260000,District,Oakland CUSD 5,Oakland,Coles,UNIT,SMALL,265.0,49.8,14.0,11.1,57.7,42.3,82.1,43154.52,72587.67,Coles,50,Oakland CUSD 5,Oakland,513.2,472.1
110180030260000,District,Neoga CUSD 3,Neoga,Cumberland,UNIT,MEDIUM,597.0,47.2,16.0,15.1,59.8,40.2,79.0,48952.44,85628.25,Cumberland,30,Neoga CUSD 3,Neoga,505.8,495.0
110180770260000,District,Cumberland CUSD 77,Toledo,Cumberland,UNIT,MEDIUM,1056.0,40.1,20.0,13.4,53.1,45.3,85.6,52443.46,85349.25,Cumberland,770,Cumberland CUSD 77,Toledo,493.3,465.4
110213010260000,District,Tuscola CUSD 301,Tuscola,Douglas,UNIT,MEDIUM,938.0,35.5,17.0,15.2,45.0,55.0,85.2,46544.66,95670.46,Douglas,3010,Tuscola CUSD 301,Tuscola,541.5,521.0
110213020260000,District,Villa Grove CUSD 302,Villa Grove,Douglas,UNIT,MEDIUM,656.0,46.2,20.0,12.7,65.9,34.1,79.1,37695.93,73066.83,Douglas,3020,Villa Grove CUSD 302,Villa Grove,486.2,458.5
110213050260000,District,Arthur CUSD 305,Arthur,Douglas,UNIT,MEDIUM,1236.0,45.5,17.0,13.3,71.2,28.8,82.4,45321.53,80845.86,Douglas,3050,Arthur CUSD 305,Arthur,490.3,486.0
110213060260000,District,Arcola CUSD 306,Arcola,Douglas,UNIT,MEDIUM,716.0,48.2,16.0,11.0,73.1,26.9,78.4,43612.37,108367.25,Douglas,3060,Arcola CUSD 306,Arcola,483.7,450.8
110230010260000,District,Shiloh CUSD 1,Hume,Edgar,UNIT,SMALL,399.0,48.9,14.0,13.3,73.4,26.6,56.0,45130.87,101938.0,Edgar,10,Shiloh CUSD 1,Hume,457.3,433.3
110230030260000,District,Kansas CUSD 3,Kansas,Edgar,UNIT,SMALL,214.0,54.7,14.0,15.0,60.0,40.0,58.5,48495.08,63183.17,Edgar,30,Kansas CUSD 3,Kansas,518.9,493.3
110230060260000,District,Edgar County CUD 6,Chrisman,Edgar,UNIT,SMALL,318.0,39.6,12.0,12.6,87.8,12.2,73.3,37649.62,67695.36,Edgar,60,Edgar County CUD 6,Chrisman,454.4,413.0
110703000260000,District,Sullivan CUSD 300,Sullivan,Moultrie,UNIT,MEDIUM,1175.0,44.9,22.0,13.3,65.5,34.5,85.1,44853.37,82947.7,Moultrie,3000,Sullivan CUSD 300,Sullivan,513.6,490.4
110703020260000,District,Okaw Valley CUSD 302,Bethany,Moultrie,UNIT,MEDIUM,507.0,46.0,14.0,12.8,87.3,12.7,86.2,36842.13,79159.93,Moultrie,3020,Okaw Valley CUSD 302,Bethany,486.3,434.4
110870010260000,District,Windsor CUSD 1,Windsor,Shelby,UNIT,SMALL,372.0,39.2,13.0,13.1,65.1,34.9,84.3,44510.81,97512.5,Shelby,10,Windsor CUSD 1,Windsor,466.8,461.4
110870040260000,District,Shelbyville CUSD 4,Shelbyville,Shelby,UNIT,MEDIUM,1205.0,44.1,20.0,14.0,60.4,39.6,90.9,49766.89,90574.23,Shelby,40,Shelbyville CUSD 4,Shelbyville,499.2,505.5
110870210260000,District,Central A & M CUD 21,Assumption,Shelby,UNIT,MEDIUM,714.0,41.2,14.0,15.9,57.8,42.2,82.6,50654.49,82247.37,Shelby,210,Central A & M CUD 21,Assumption,502.4,468.6
